genre,webtoon_id,title,thumbnail_url,rank
DAILY,799267,"안녕, 나의 수집",https://image-comic.pstatic.net/webtoon/799267/thumbnail/thumbnail_IMAG21_f522ff4f-4f7c-40bf-b9f2-f58d049d4a82.jpg,7
DAILY,741891,결혼생활 그림일기,https://image-comic.pstatic.net/webtoon/741891/thumbnail/thumbnail_IMAG21_47b971e4-00b6-451b-862e-1060bae5a80d.jpg,8
DAILY,814398,로맨스 당도 백퍼센트,https://image-comic.pstatic.net/webtoon/814398/thumbnail/thumbnail_IMAG21_23b64b71-1d91-4326-982c-1480462c01e6.jpg,9
DAILY,748105,독립일기,https://image-comic.pstatic.net/webtoon/748105/thumbnail/thumbnail_IMAG21_87f84b6f-a211-4940-8684-f4b8731357eb.jpg,10
THRILL,660366,마스크걸,https://image-comic.pstatic.net/webtoon/660366/thumbnail/thumbnail_IMAG21_3774688497130353974.jpg,1
THRILL,774866,똑 닮은 딸,https://image-comic.pstatic.net/webtoon/774866/thumbnail/thumbnail_IMAG21_46cf2e65-7b7c-4fb7-8f54-0078456d8ff0.jpg,2
THRILL,812124,유쾌한 왕따(재),https://image-comic.pstatic.net/webtoon/812124/thumbnail/thumbnail_IMAG21_7e3d71f2-4918-44db-a33b-bd16333eaa8f.jpg,3
THRILL,804783,사변괴담,https://image-comic.pstatic.net/webtoon/804783/thumbnail/thumbnail_IMAG21_a80f7760-3c93-4002-84d4-eece85593f84.jpg,4
THRILL,795262,사형소년,https://image-comic.pstatic.net/webtoon/795262/thumbnail/thumbnail_IMAG21_6904a7bd-e806-4f49-9b00-ee882a86fd4b.jpg,5
THRILL,742105,미래의 골동품 가게,https://image-comic.pstatic.net/webtoon/742105/thumbnail/thumbnail_IMAG21_a3860cc1-f927-4031-92fd-8d89b9801127.jpg,6
THRILL,801035,퍼니게임,https://image-comic.pstatic.net/webtoon/801035/thumbnail/thumbnail_IMAG21_01fd148f-edb2-4ada-9571-910981ec3376.jpg,7
THRILL,758666,꼬리잡기,https://image-comic.pstatic.net/webtoon/758666/thumbnail/thumbnail_IMAG21_7364564497641911606.jpg,8
THRILL,802389,궤짝,https://image-comic.pstatic.net/webtoon/802389/thumbnail/thumbnail_IMAG21_2c396e53-5710-47b4-b9ae-0b9582454479.jpg,9
THRILL,812161,도태교실,https://image-comic.pstatic.net/webtoon/812161/thumbnail/thumbnail_IMAG21_076b480a-84eb-46be-b6b0-906e66902f68.jpg,10
