,Title,Author,Age,Favorite,PublicDay,HashTag
62,고백어택,늠개,ALL,66767,MONDAY,"로맨스,짝사랑,학원로맨스"
63,어쌔신 크리드 - 잊혀진 사원,샤이아탄,RATE_15,17684,MONDAY,"판타지,레드아이스스튜디오,게임판타지"
64,슈퍼스타 천대리,Do8,ALL,21367,MONDAY,"감성,음악,연예계,소설원작"
65,"집사, 주세요!",꾀돌이,ALL,57703,MONDAY,"로맨스,로맨스코미디,4차원,하이틴,학원로맨스,역하렘"
66,메리의 불타는 행복회로,김지수,ALL,39918,MONDAY,드라마
67,세번째 로망스,문조,ALL,75277,MONDAY,"로맨스,타임슬립,전남친"
68,포스트 팬데믹,좡좡,RATE_15,20545,MONDAY,"스릴러,소설원작"
69,역주행!,김현아,ALL,48484,MONDAY,"드라마,아이돌,아이돌연애,연예계"
70,토마토가 돼라!,뮤리,ALL,35855,MONDAY,로맨스
71,버그이터,이륙,RATE_12,36743,MONDAY,"판타지,2021지상최대공모전,게임판타지,먼치킨"
72,러브 똘츄얼리,김진경,ALL,18788,MONDAY,로맨스
73,결혼공략,율무,ALL,46281,MONDAY,"로맨스,로맨스코미디,캠퍼스로맨스,청춘로맨스"
74,트러블리걸,일쩜이,RATE_15,24939,MONDAY,로맨스
75,파운더,임상윤,RATE_15,46514,MONDAY,"액션,범죄"
76,중독연구소,김택기,ALL,28113,MONDAY,드라마
77,트리거,고경빈,RATE_15,26284,MONDAY,"판타지,아포칼립스,인외존재"
78,악취해결사,샘샘,ALL,23408,MONDAY,"드라마,최강자전,2021최강자전,학원물,성장드라마"
79,행운을 부탁해!,해롱,ALL,23981,MONDAY,"로맨스,로맨스코미디,현실로맨스,로판"
80,오로지 오로라,홍달,ALL,48856,MONDAY,"판타지,최강자전,2019최강자전,히어로"
81,모스크바의 여명,이샨오,ALL,64528,MONDAY,"드라마,힐링,소설원작"
82,별을 쫓는 소년들,HYBE,RATE_12,53990,MONDAY,"판타지,히어로,연예계"
83,연애 연기대상,김충전,RATE_15,25300,MONDAY,"로맨스,고자극로맨스,2030연애,로맨스코미디,계약연애,청춘로맨스,캠퍼스로맨스"
84,시한부의 아이까지 뺏으려 합니다,랍스타,ALL,2850,MONDAY,"로맨스,소설원작"
